epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45271,1.34991,3.16522,1.81442,0.00339,1,0.52513,0.30869,1.02862,3.08141,1.54323,0.0001667,0.0001667,0.0001667
2,7.9982,1.21747,2.464,1.66884,0.00392,1,0.63643,0.29141,1.31661,2.87165,1.71898,0.000343139,0.000343139,0.000343139
3,11.2595,1.16972,1.96172,1.58383,0.88751,0.09091,0.59807,0.36278,1.3293,2.47305,1.62766,0.000512316,0.000512316,0.000512316
4,14.7594,1.23871,1.7855,1.63832,0.50696,0.34091,0.46688,0.27155,1.40461,2.32746,1.88469,0.000674231,0.000674231,0.000674231
5,18.0521,1.27555,1.75992,1.67991,0.81071,0.37326,0.57797,0.25102,1.43802,2.24384,2.16196,0.000828886,0.000828886,0.000828886
6,21.1804,1.23583,1.61728,1.60801,0.70658,0.59047,0.66585,0.38488,1.39391,2.16867,1.97676,0.000976279,0.000976279,0.000976279
7,24.2038,1.33739,1.68718,1.68679,0.37182,0.56282,0.39661,0.17474,1.76428,2.40348,2.3144,0.00111641,0.00111641,0.00111641
8,27.2043,1.26747,1.62347,1.6328,0.54216,0.48881,0.51643,0.23078,1.8003,5.27359,2.75267,0.00124928,0.00124928,0.00124928
9,30.317,1.29148,1.51442,1.64352,0.40371,0.68182,0.57503,0.27112,1.63755,2.87202,2.39116,0.00137489,0.00137489,0.00137489
10,33.8622,1.25207,1.45463,1.63547,0.53005,0.51606,0.45211,0.2336,1.50146,2.65964,2.19008,0.00136994,0.00136994,0.00136994
11,37.0157,1.2443,1.43224,1.62433,0.76698,0.76072,0.81268,0.44457,1.44889,1.55555,2.22177,0.00133693,0.00133693,0.00133693
12,40.1337,1.27616,1.39395,1.66178,0.7195,0.57479,0.57612,0.24733,1.69758,1.85845,2.47197,0.00130393,0.00130393,0.00130393
13,43.2104,1.1972,1.31945,1.5689,0.88416,0.68609,0.79866,0.47505,1.49507,1.50921,1.94292,0.00127092,0.00127092,0.00127092
14,46.3563,1.19437,1.25327,1.60065,0.88272,0.53923,0.71354,0.39999,1.27603,1.80276,1.95627,0.00123791,0.00123791,0.00123791
15,49.4434,1.2072,1.29084,1.62083,0.70194,0.7116,0.73498,0.37482,1.51007,1.52366,2.02106,0.00120491,0.00120491,0.00120491
16,52.6057,1.1453,1.22267,1.53585,0.70015,0.80166,0.77737,0.5255,1.03169,1.34674,1.51262,0.0011719,0.0011719,0.0011719
17,55.7689,1.14477,1.15582,1.5362,0.72553,0.79861,0.78563,0.47995,1.3743,1.58805,1.94093,0.00113889,0.00113889,0.00113889
18,58.8734,1.12661,1.08524,1.53164,0.63791,0.8352,0.77875,0.57578,0.99803,1.42655,1.43249,0.00110589,0.00110589,0.00110589
